run	batch	stage	method	members	operations	requests	before_ms	current_ms	openldap_ms	relative_percent	time_reduction_percent
explicit-sized	hot	userBind	simple_bind_ssha	0	1000	1000	94.819085000	87.609953000	67.959667000	77.570715053	7.603038987
explicit-sized	hot	userBind	simple_bind_plaintext	0	1000	1000	93.702042000	86.962670000	67.594921000	77.728663345	7.192342724
explicit-sized	hot	userBindWrong	simple_bind_ssha	0	1000	1000	92.277239000	84.793362000	67.834382000	79.999637236	8.110209062
explicit-sized	hot	userBindWrong	simple_bind_plaintext	0	1000	1000	90.772594000	85.385575000	67.421407000	78.961120775	5.934631547
explicit-sized	hot	nonrootBase	search_nonrootBase	0	1000	1000	117.100592000	107.344128000	77.107545000	71.832103382	8.331694856
explicit-sized	hot	nonrootEquality	search_nonrootEquality	0	1000	1000	118.152835000	112.287628000	78.842405000	70.214685629	4.964084865
explicit-sized	distributed	nonrootBase	search_nonrootBase	0	1000	1000	133.731213000	124.880105000	77.524153000	62.078865965	6.618580510
explicit-sized	distributed	nonrootEquality	search_nonrootEquality	0	1000	1000	131.327648000	126.954824000	80.182952000	63.158649253	3.329705562
explicit-sized	groups	memberEquality	search_memberEquality	0	100	100	23.506580000	21.335419000	11.207291000	52.529041028	9.236396788
explicit-sized	groups	groupBase	base_member_values	10	100	100	15.566463000	14.514369000	9.705205000	66.866186191	6.758722261
explicit-sized	groups	groupBase	base_member_values	1000	100	100	90.135881000	86.307205000	80.129667000	92.842384364	4.247671357
explicit-sized	groups	nestedMembership	client_bfs_member_equality	0	100	417	62.449240000	58.519375000	38.109537000	65.122939197	6.292894837
default-sized	hot	userBind	simple_bind_ssha	0	1000	1000	95.649706000	86.144162000	68.594056000	79.627051221	9.937870588
default-sized	hot	userBind	simple_bind_plaintext	0	1000	1000	95.218753000	87.846320000	69.305378000	78.893888782	7.742627127
default-sized	hot	userBindWrong	simple_bind_ssha	0	1000	1000	91.703613000	84.349843000	67.822805000	80.406557485	8.019062455
default-sized	hot	userBindWrong	simple_bind_plaintext	0	1000	1000	103.110379000	87.026376000	68.635707000	78.867706728	15.598820561
default-sized	hot	nonrootBase	search_nonrootBase	0	1000	1000	124.241709000	112.903856000	84.835040000	75.139187452	9.125641535
default-sized	hot	nonrootEquality	search_nonrootEquality	0	1000	1000	126.182759000	114.474004000	87.578826000	76.505427381	9.279203508
default-sized	distributed	nonrootBase	search_nonrootBase	0	1000	1000	130.135379000	117.777447000	78.320733000	66.498922328	9.496212402
default-sized	distributed	nonrootEquality	search_nonrootEquality	0	1000	1000	120.278652000	114.337668000	80.880518000	70.738295974	4.939350335
default-sized	groups	memberEquality	search_memberEquality	0	100	100	18.164045000	17.017209000	10.662495000	62.657131378	6.313769868
default-sized	groups	groupBase	base_member_values	10	100	100	13.049630000	11.829545000	8.768127000	74.120576911	9.349575429
default-sized	groups	groupBase	base_member_values	1000	100	100	88.953091000	84.491124000	80.664124000	95.470530135	5.016089885
default-sized	groups	nestedMembership	client_bfs_member_equality	0	100	417	57.541739000	53.034960000	36.513245000	68.847501723	7.832191168
explicit-final	hot	userBind	simple_bind_ssha	0	1000	1000	95.651502000	88.874499000	69.550144000	78.256580664	7.085098361
explicit-final	hot	userBind	simple_bind_plaintext	0	1000	1000	95.199190000	87.112522000	67.572499000	77.569214447	8.494471434
explicit-final	hot	userBindWrong	simple_bind_ssha	0	1000	1000	94.314614000	86.805100000	69.084088000	79.585287040	7.962195551
explicit-final	hot	userBindWrong	simple_bind_plaintext	0	1000	1000	90.189182000	83.638417000	66.696710000	79.744108500	7.263360034
explicit-final	hot	nonrootBase	search_nonrootBase	0	1000	1000	115.729701000	116.604211000	76.026625000	65.200582679	-0.755648716
explicit-final	hot	nonrootEquality	search_nonrootEquality	0	1000	1000	116.449608000	115.217207000	77.823101000	67.544686272	1.058312708
explicit-final	distributed	nonrootBase	search_nonrootBase	0	1000	1000	137.077471000	133.590555000	77.760980000	58.208441458	2.543755713
explicit-final	distributed	nonrootEquality	search_nonrootEquality	0	1000	1000	129.364204000	130.384882000	81.116715000	62.213282518	-0.788995695
explicit-final	groups	memberEquality	search_memberEquality	0	100	100	21.343837000	21.604542000	10.843550000	50.191066304	-1.221453294
explicit-final	groups	groupBase	base_member_values	10	100	100	14.929622000	14.426123000	9.140374000	63.359878465	3.372483242
explicit-final	groups	groupBase	base_member_values	1000	100	100	91.828626000	91.927543000	81.650877000	88.820906483	-0.107719133
explicit-final	groups	nestedMembership	client_bfs_member_equality	0	100	417	62.234367000	63.790946000	36.771076000	57.643095620	-2.501156636
