run	batch	stage	method	members	endpoint	repeats	operations	requests	verification_requests	median_ms
explicit-final	hot	userBind	simple_bind_ssha	0	before	3	1000	1000	1002	100.773228000
explicit-final	hot	userBind	simple_bind_ssha	0	current	3	1000	1000	1002	100.728431000
explicit-final	hot	userBind	simple_bind_ssha	0	openldap	3	1000	1000	1002	79.335757000
explicit-final	hot	userBind	simple_bind_plaintext	0	before	3	1000	1000	1002	104.346924000
explicit-final	hot	userBind	simple_bind_plaintext	0	current	3	1000	1000	1002	109.460786000
explicit-final	hot	userBind	simple_bind_plaintext	0	openldap	3	1000	1000	1002	82.831088000
explicit-final	hot	userBindWrong	simple_bind_ssha	0	before	3	1000	1000	3002	90.768190000
explicit-final	hot	userBindWrong	simple_bind_ssha	0	current	3	1000	1000	3002	91.451802000
explicit-final	hot	userBindWrong	simple_bind_ssha	0	openldap	3	1000	1000	3002	70.929346000
explicit-final	hot	userBindWrong	simple_bind_plaintext	0	before	3	1000	1000	3002	90.588614000
explicit-final	hot	userBindWrong	simple_bind_plaintext	0	current	3	1000	1000	3002	90.072424000
explicit-final	hot	userBindWrong	simple_bind_plaintext	0	openldap	3	1000	1000	3002	71.084393000
explicit-final	hot	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	116.053883000
explicit-final	hot	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	109.793085000
explicit-final	hot	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	83.545452000
explicit-final	hot	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	132.476692000
explicit-final	hot	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	120.948236000
explicit-final	hot	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	97.461627000
explicit-final	distributed	nonrootBase	search_nonrootBase	0	before	3	1000	1000	1002	147.346029000
explicit-final	distributed	nonrootBase	search_nonrootBase	0	current	3	1000	1000	1002	141.356886000
explicit-final	distributed	nonrootBase	search_nonrootBase	0	openldap	3	1000	1000	1002	91.226077000
explicit-final	distributed	nonrootEquality	search_nonrootEquality	0	before	3	1000	1000	1002	197.198119000
explicit-final	distributed	nonrootEquality	search_nonrootEquality	0	current	3	1000	1000	1002	218.432602000
explicit-final	distributed	nonrootEquality	search_nonrootEquality	0	openldap	3	1000	1000	1002	129.654537000
explicit-final	groups	memberEquality	search_memberEquality	0	before	3	100	100	102	32.092666000
explicit-final	groups	memberEquality	search_memberEquality	0	current	3	100	100	102	19.719795000
explicit-final	groups	memberEquality	search_memberEquality	0	openldap	3	100	100	102	11.840747000
explicit-final	groups	groupBase	base_member_values	10	before	3	100	100	102	18.938711000
explicit-final	groups	groupBase	base_member_values	10	current	3	100	100	102	14.574087000
explicit-final	groups	groupBase	base_member_values	10	openldap	3	100	100	102	10.911201000
explicit-final	groups	groupBase	base_member_values	1000	before	3	100	100	102	135.865406000
