goos: darwin
goarch: arm64
pkg: github.com/wangle201210/ldap-go/internal/directory
cpu: Apple M1 Pro
BenchmarkDNDisplayCompare/empty/equal/equals/direct-8         	27634807	         6.020 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/equal/equals/direct-8         	42856560	         4.127 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/equal/equals/string-8         	21401394	         7.423 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/equal/equals/string-8         	21090343	         8.191 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/equal/suffix/direct-8         	40620571	         4.728 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/equal/suffix/direct-8         	46289484	         4.208 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/equal/suffix/string-8         	19559870	         9.448 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/equal/suffix/string-8         	22967359	        11.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/child/equals/direct-8         	34754520	         5.727 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/child/equals/direct-8         	43342951	         4.347 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/child/equals/string-8         	20289600	         9.056 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/child/equals/string-8         	19708567	        10.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/child/suffix/direct-8         	48362174	         4.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/child/suffix/direct-8         	39206079	         4.639 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/child/suffix/string-8         	12039856	        14.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/child/suffix/string-8         	14749094	        12.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/prefix-miss/equals/direct-8   	38204446	         4.438 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/prefix-miss/equals/direct-8   	37717069	         4.800 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/prefix-miss/equals/string-8   	21749526	         9.208 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/prefix-miss/equals/string-8   	18527014	         8.399 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/prefix-miss/suffix/direct-8   	42972160	         4.308 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/prefix-miss/suffix/direct-8   	45604334	         4.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/prefix-miss/suffix/string-8   	12018441	        13.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/prefix-miss/suffix/string-8   	14670639	        12.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/tail-miss/equals/direct-8     	26958252	         6.010 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/tail-miss/equals/direct-8     	37633514	         4.349 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/tail-miss/equals/string-8     	20024967	         9.843 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNDisplayCompare/empty/tail-miss/equals/string-8     	20100501	         8.813 ns/op	       0 B/op	       0 allocs/op
