goos: darwin
goarch: arm64
pkg: github.com/wangle201210/ldap-go/internal/schema
cpu: Apple M1 Pro
BenchmarkDNCacheNormalizedText/root/warm/DNOnly-8   	 3827310	        46.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/root/warm/DNOnly-8   	 3723681	        47.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/root/warm/DNAndRender-8         	 3386540	        52.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/root/warm/DNAndRender-8         	 3455640	        51.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/root/warm/retainedText-8        	 3572137	        51.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/root/warm/retainedText-8        	 3533875	        50.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/suffix/warm/DNOnly-8            	 3775767	        47.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/suffix/warm/DNOnly-8            	 3749673	        47.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/suffix/warm/DNAndRender-8       	 2203125	        81.97 ns/op	      24 B/op	       1 allocs/op
BenchmarkDNCacheNormalizedText/suffix/warm/DNAndRender-8       	 2214799	        81.21 ns/op	      24 B/op	       1 allocs/op
BenchmarkDNCacheNormalizedText/suffix/warm/retainedText-8      	 3962116	        45.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/suffix/warm/retainedText-8      	 3711872	        46.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/multiAVA/warm/DNOnly-8          	 3640303	        49.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/multiAVA/warm/DNOnly-8          	 3651340	        49.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/multiAVA/warm/DNAndRender-8     	 1737608	       103.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNCacheNormalizedText/multiAVA/warm/DNAndRender-8     	 1743404	       103.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkDNCacheNormalizedText/multiAVA/warm/retainedText-8    	 3922711	        45.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/multiAVA/warm/retainedText-8    	 3969438	        45.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkDNCacheNormalizedText/suffix/cold/DNOnly-8            	   34962	      5341 ns/op	    1712 B/op	      73 allocs/op
BenchmarkDNCacheNormalizedText/suffix/cold/DNOnly-8            	   35107	      5183 ns/op	    1712 B/op	      73 allocs/op
BenchmarkDNCacheNormalizedText/suffix/cold/DNAndRender-8       	   36632	      5504 ns/op	    1736 B/op	      74 allocs/op
BenchmarkDNCacheNormalizedText/suffix/cold/DNAndRender-8       	   36358	      4909 ns/op	    1736 B/op	      74 allocs/op
BenchmarkDNCacheNormalizedText/suffix/cold/retainedText-8      	   34794	      5488 ns/op	    1712 B/op	      73 allocs/op
BenchmarkDNCacheNormalizedText/suffix/cold/retainedText-8      	   24811	      8604 ns/op	    1712 B/op	      73 allocs/op
BenchmarkDNCacheNormalizedText/oversizedInput/DNOnly-8         	    2192	     74133 ns/op	   30760 B/op	     116 allocs/op
BenchmarkDNCacheNormalizedText/oversizedInput/DNOnly-8         	    3415	     46866 ns/op	   30760 B/op	     116 allocs/op
BenchmarkDNCacheNormalizedText/oversizedInput/DNAndRender-8    	    6822	     30279 ns/op	   31912 B/op	     117 allocs/op
BenchmarkDNCacheNormalizedText/oversizedInput/DNAndRender-8    	    6222	     27376 ns/op	   31912 B/op	     117 allocs/op
BenchmarkDNCacheNormalizedText/oversizedInput/retainedText-8   	    6090	     28239 ns/op	   31913 B/op	     117 allocs/op
BenchmarkDNCacheNormalizedText/oversizedInput/retainedText-8   	    6487	     26335 ns/op	   31912 B/op	     117 allocs/op
