pair	round	side	ms
1	0	before	1500
1	0	current	1639
1	1	current	1043
1	1	before	928
1	2	before	992
1	2	current	979
1	3	current	833
1	3	before	824
1	4	before	827
1	4	current	856
1	5	current	804
1	5	before	791
1	6	before	820
1	6	current	833
1	7	current	898
1	7	before	823
1	8	before	952
1	8	current	995
2	0	before	1353
2	0	current	1327
2	1	current	1053
2	1	before	1145
2	2	before	983
2	2	current	915
2	3	current	996
2	3	before	904
2	4	before	964
2	4	current	873
2	5	current	806
2	5	before	927
2	6	before	897
2	6	current	880
2	7	current	917
2	7	before	897
2	8	before	1091
2	8	current	900
3	0	before	1302
3	0	current	2200
3	1	current	988
3	1	before	1182
3	2	before	994
3	2	current	1009
3	3	current	883
3	3	before	910
3	4	before	917
3	4	current	1107
3	5	current	1070
3	5	before	964
3	6	before	1217
3	6	current	943
3	7	current	935
3	7	before	905
3	8	before	915
3	8	current	917
