pair	round	side	ms
1	0	before	1214
1	0	current	1226
1	1	current	967
1	1	before	994
1	2	before	994
1	2	current	927
1	3	current	1382
1	3	before	1014
1	4	before	927
1	4	current	924
1	5	current	944
1	5	before	925
1	6	before	947
1	6	current	958
1	7	current	898
1	7	before	917
1	8	before	872
1	8	current	884
2	0	before	1435
2	0	current	1365
2	1	current	945
2	1	before	857
2	2	before	888
2	2	current	1409
2	3	current	1207
2	3	before	987
2	4	before	917
2	4	current	1117
2	5	current	1023
2	5	before	1063
2	6	before	1043
2	6	current	1099
2	7	current	1074
2	7	before	1060
2	8	before	921
2	8	current	891
3	0	before	1804
3	0	current	1258
3	1	current	962
3	1	before	1244
3	2	before	924
3	2	current	1005
3	3	current	970
3	3	before	922
3	4	before	994
3	4	current	1181
3	5	current	934
3	5	before	850
3	6	before	891
3	6	current	910
3	7	current	943
3	7	before	848
3	8	before	850
3	8	current	928
