pair	round	side	ms
1	0	before	1207
1	0	current	1160
1	1	current	902
1	1	before	925
1	2	before	1006
1	2	current	946
1	3	current	1003
1	3	before	1120
1	4	before	923
1	4	current	880
1	5	current	904
1	5	before	1096
1	6	before	1057
1	6	current	998
1	7	current	871
1	7	before	881
1	8	before	885
1	8	current	791
2	0	before	1257
2	0	current	1215
2	1	current	863
2	1	before	910
2	2	before	954
2	2	current	1229
2	3	current	1021
2	3	before	920
2	4	before	855
2	4	current	815
2	5	current	825
2	5	before	894
2	6	before	1122
2	6	current	1080
2	7	current	1030
2	7	before	991
2	8	before	869
2	8	current	872
3	0	before	1231
3	0	current	1178
3	1	current	860
3	1	before	903
3	2	before	972
3	2	current	969
3	3	current	912
3	3	before	918
3	4	before	875
3	4	current	814
3	5	current	884
3	5	before	837
3	6	before	840
3	6	current	802
3	7	current	920
3	7	before	864
3	8	before	1063
3	8	current	926
