run	metric	ms
before-1	indexed_first	818
before-1	unindexed_first	312
before-1	paged_first	1010
before-1	indexed	742
before-1	unindexed	31
before-1	paged	1170
before-1	concurrent	234
before-1	indexed	728
before-1	unindexed	35
before-1	paged	1247
before-1	concurrent	252
before-1	indexed	660
before-1	unindexed	30
before-1	paged	1289
before-1	concurrent	236
current-1	indexed_first	923
current-1	unindexed_first	310
current-1	paged_first	996
current-1	indexed	647
current-1	unindexed	30
current-1	paged	1214
current-1	concurrent	239
current-1	indexed	662
current-1	unindexed	34
current-1	paged	1176
current-1	concurrent	252
current-1	indexed	695
current-1	unindexed	33
current-1	paged	1232
current-1	concurrent	243
openldap-1	indexed_first	635
openldap-1	unindexed_first	346
openldap-1	paged_first	760
openldap-1	indexed	641
openldap-1	unindexed	338
openldap-1	paged	1499
openldap-1	concurrent	256
openldap-1	indexed	658
openldap-1	unindexed	340
openldap-1	paged	1338
openldap-1	concurrent	254
openldap-1	indexed	683
openldap-1	unindexed	350
openldap-1	paged	1400
openldap-1	concurrent	367
current-2	indexed_first	1069
current-2	unindexed_first	783
current-2	paged_first	1011
current-2	indexed	677
current-2	unindexed	30
current-2	paged	1204
current-2	concurrent	261
current-2	indexed	672
current-2	unindexed	36
current-2	paged	1171
current-2	concurrent	242
current-2	indexed	763
current-2	unindexed	32
current-2	paged	1230
current-2	concurrent	227
openldap-2	indexed_first	725
openldap-2	unindexed_first	362
openldap-2	paged_first	744
openldap-2	indexed	682
openldap-2	unindexed	543
openldap-2	paged	1817
openldap-2	concurrent	256
openldap-2	indexed	669
openldap-2	unindexed	346
openldap-2	paged	1411
openldap-2	concurrent	254
openldap-2	indexed	689
openldap-2	unindexed	343
openldap-2	paged	1333
openldap-2	concurrent	242
before-2	indexed_first	851
before-2	unindexed_first	329
before-2	paged_first	1008
before-2	indexed	668
before-2	unindexed	31
before-2	paged	1117
before-2	concurrent	219
before-2	indexed	647
before-2	unindexed	33
before-2	paged	1160
before-2	concurrent	228
before-2	indexed	631
before-2	unindexed	30
before-2	paged	1186
before-2	concurrent	234
openldap-3	indexed_first	842
openldap-3	unindexed_first	354
openldap-3	paged_first	786
openldap-3	indexed	635
openldap-3	unindexed	348
openldap-3	paged	1457
openldap-3	concurrent	252
openldap-3	indexed	701
openldap-3	unindexed	363
openldap-3	paged	1592
openldap-3	concurrent	247
openldap-3	indexed	697
openldap-3	unindexed	354
openldap-3	paged	1310
openldap-3	concurrent	240
before-3	indexed_first	925
before-3	unindexed_first	312
before-3	paged_first	1017
before-3	indexed	716
before-3	unindexed	33
before-3	paged	1223
before-3	concurrent	239
before-3	indexed	677
before-3	unindexed	52
before-3	paged	1505
before-3	concurrent	240
before-3	indexed	733
before-3	unindexed	31
before-3	paged	1174
before-3	concurrent	257
current-3	indexed_first	1103
current-3	unindexed_first	312
current-3	paged_first	1009
current-3	indexed	736
current-3	unindexed	30
current-3	paged	1708
current-3	concurrent	241
current-3	indexed	696
current-3	unindexed	30
current-3	paged	1297
current-3	concurrent	281
current-3	indexed	649
current-3	unindexed	30
current-3	paged	1162
current-3	concurrent	252
