run	metric	ms
before-1	concurrent	290
before-1	concurrent	246
before-1	concurrent	249
before-1	concurrent	238
before-1	concurrent	236
before-1	concurrent	238
before-1	concurrent	243
current-1	concurrent	241
current-1	concurrent	238
current-1	concurrent	236
current-1	concurrent	245
current-1	concurrent	239
current-1	concurrent	235
current-1	concurrent	237
current-2	concurrent	256
current-2	concurrent	234
current-2	concurrent	237
current-2	concurrent	251
current-2	concurrent	235
current-2	concurrent	237
current-2	concurrent	232
before-2	concurrent	266
before-2	concurrent	237
before-2	concurrent	245
before-2	concurrent	247
before-2	concurrent	231
before-2	concurrent	247
before-2	concurrent	236
before-3	concurrent	259
before-3	concurrent	257
before-3	concurrent	265
before-3	concurrent	239
before-3	concurrent	265
before-3	concurrent	254
before-3	concurrent	241
current-3	concurrent	263
current-3	concurrent	260
current-3	concurrent	265
current-3	concurrent	250
current-3	concurrent	237
current-3	concurrent	232
current-3	concurrent	231
