run	metric	ms
before-1	indexed_first	1295
before-1	unindexed_first	454
before-1	paged_first	938
before-1	indexed	736
before-1	unindexed	31
before-1	paged	859
before-1	concurrent	258
before-1	indexed	692
before-1	unindexed	33
before-1	paged	924
before-1	concurrent	255
before-1	indexed	718
before-1	unindexed	31
before-1	paged	856
before-1	concurrent	279
current-1	indexed_first	848
current-1	unindexed_first	240
current-1	paged_first	822
current-1	indexed	638
current-1	unindexed	35
current-1	paged	833
current-1	concurrent	308
current-1	indexed	755
current-1	unindexed	34
current-1	paged	824
current-1	concurrent	260
current-1	indexed	618
current-1	unindexed	31
current-1	paged	846
current-1	concurrent	277
openldap-1	indexed_first	652
openldap-1	unindexed_first	345
openldap-1	paged_first	730
openldap-1	indexed	648
openldap-1	unindexed	343
openldap-1	paged	1420
openldap-1	concurrent	280
openldap-1	indexed	688
openldap-1	unindexed	344
openldap-1	paged	1580
openldap-1	concurrent	295
openldap-1	indexed	698
openldap-1	unindexed	374
openldap-1	paged	1413
openldap-1	concurrent	270
current-2	indexed_first	968
current-2	unindexed_first	248
current-2	paged_first	849
current-2	indexed	638
current-2	unindexed	30
current-2	paged	888
current-2	concurrent	258
current-2	indexed	639
current-2	unindexed	29
current-2	paged	825
current-2	concurrent	266
current-2	indexed	665
current-2	unindexed	29
current-2	paged	819
current-2	concurrent	246
openldap-2	indexed_first	671
openldap-2	unindexed_first	353
openldap-2	paged_first	705
openldap-2	indexed	669
openldap-2	unindexed	337
openldap-2	paged	1406
openldap-2	concurrent	275
openldap-2	indexed	661
openldap-2	unindexed	339
openldap-2	paged	1405
openldap-2	concurrent	282
openldap-2	indexed	697
openldap-2	unindexed	348
openldap-2	paged	1425
openldap-2	concurrent	294
before-2	indexed_first	890
before-2	unindexed_first	313
before-2	paged_first	1184
before-2	indexed	660
before-2	unindexed	31
before-2	paged	841
before-2	concurrent	266
before-2	indexed	611
before-2	unindexed	29
before-2	paged	828
before-2	concurrent	268
before-2	indexed	710
before-2	unindexed	31
before-2	paged	834
before-2	concurrent	241
openldap-3	indexed_first	673
openldap-3	unindexed_first	347
openldap-3	paged_first	692
openldap-3	indexed	647
openldap-3	unindexed	336
openldap-3	paged	1442
openldap-3	concurrent	286
openldap-3	indexed	663
openldap-3	unindexed	339
openldap-3	paged	1485
openldap-3	concurrent	296
openldap-3	indexed	661
openldap-3	unindexed	347
openldap-3	paged	1473
openldap-3	concurrent	289
before-3	indexed_first	864
before-3	unindexed_first	317
before-3	paged_first	820
before-3	indexed	680
before-3	unindexed	30
before-3	paged	831
before-3	concurrent	247
before-3	indexed	642
before-3	unindexed	35
before-3	paged	943
before-3	concurrent	303
before-3	indexed	716
before-3	unindexed	29
before-3	paged	831
before-3	concurrent	244
current-3	indexed_first	837
current-3	unindexed_first	240
current-3	paged_first	826
current-3	indexed	670
current-3	unindexed	33
current-3	paged	884
current-3	concurrent	286
current-3	indexed	620
current-3	unindexed	51
current-3	paged	812
current-3	concurrent	256
current-3	indexed	663
current-3	unindexed	30
current-3	paged	811
current-3	concurrent	271
