run	metric	ms
before-1	indexed_first	1235
before-1	unindexed_first	359
before-1	paged_first	2874
before-1	indexed	1364
before-1	unindexed	30
before-1	paged	1117
before-1	concurrent	259
before-1	indexed	888
before-1	unindexed	30
before-1	paged	1048
before-1	concurrent	266
before-1	indexed	917
before-1	unindexed	32
before-1	paged	1095
before-1	concurrent	269
current-1	indexed_first	2154
current-1	unindexed_first	345
current-1	paged_first	2169
current-1	indexed	893
current-1	unindexed	147
current-1	paged	1151
current-1	concurrent	250
current-1	indexed	928
current-1	unindexed	31
current-1	paged	965
current-1	concurrent	250
current-1	indexed	797
current-1	unindexed	30
current-1	paged	958
current-1	concurrent	242
openldap-1	indexed_first	641
openldap-1	unindexed_first	346
openldap-1	paged_first	530
openldap-1	indexed	625
openldap-1	unindexed	338
openldap-1	paged	1060
openldap-1	concurrent	211
openldap-1	indexed	625
openldap-1	unindexed	338
openldap-1	paged	1065
openldap-1	concurrent	204
openldap-1	indexed	610
openldap-1	unindexed	338
openldap-1	paged	1050
openldap-1	concurrent	205
current-2	indexed_first	1279
current-2	unindexed_first	319
current-2	paged_first	1819
current-2	indexed	830
current-2	unindexed	33
current-2	paged	966
current-2	concurrent	242
current-2	indexed	792
current-2	unindexed	30
current-2	paged	1008
current-2	concurrent	238
current-2	indexed	793
current-2	unindexed	31
current-2	paged	965
current-2	concurrent	246
openldap-2	indexed_first	622
openldap-2	unindexed_first	340
openldap-2	paged_first	528
openldap-2	indexed	613
openldap-2	unindexed	335
openldap-2	paged	1018
openldap-2	concurrent	200
openldap-2	indexed	610
openldap-2	unindexed	336
openldap-2	paged	1032
openldap-2	concurrent	204
openldap-2	indexed	617
openldap-2	unindexed	337
openldap-2	paged	1020
openldap-2	concurrent	202
before-2	indexed_first	1293
before-2	unindexed_first	316
before-2	paged_first	2911
before-2	indexed	835
before-2	unindexed	28
before-2	paged	1061
before-2	concurrent	236
before-2	indexed	757
before-2	unindexed	33
before-2	paged	1100
before-2	concurrent	233
before-2	indexed	775
before-2	unindexed	29
before-2	paged	1257
before-2	concurrent	248
openldap-3	indexed_first	642
openldap-3	unindexed_first	410
openldap-3	paged_first	625
openldap-3	indexed	631
openldap-3	unindexed	355
openldap-3	paged	1071
openldap-3	concurrent	198
openldap-3	indexed	618
openldap-3	unindexed	334
openldap-3	paged	1451
openldap-3	concurrent	242
openldap-3	indexed	614
openldap-3	unindexed	343
openldap-3	paged	1187
openldap-3	concurrent	228
before-3	indexed_first	1141
before-3	unindexed_first	343
before-3	paged_first	2635
before-3	indexed	772
before-3	unindexed	32
before-3	paged	1011
before-3	concurrent	230
before-3	indexed	804
before-3	unindexed	31
before-3	paged	1012
before-3	concurrent	240
before-3	indexed	787
before-3	unindexed	30
before-3	paged	1017
before-3	concurrent	326
current-3	indexed_first	1154
current-3	unindexed_first	318
current-3	paged_first	1811
current-3	indexed	802
current-3	unindexed	35
current-3	paged	965
current-3	concurrent	226
current-3	indexed	790
current-3	unindexed	32
current-3	paged	942
current-3	concurrent	236
current-3	indexed	788
current-3	unindexed	32
current-3	paged	958
current-3	concurrent	238
