File: profile-current.test
Type: alloc_space
Time: 2026-09-23 14:47:08 CST
Showing nodes accounting for 2189.22MB, 95.34% of 2296.28MB total
Dropped 87 nodes (cum <= 11.48MB)
      flat  flat%   sum%        cum   cum%
  189.51MB  8.25%  8.25%   189.51MB  8.25%  internal/bytealg.MakeNoZero
     154MB  6.71% 14.96%      154MB  6.71%  github.com/go-ldap/ldap/v3.ParseDN.func1 (inline)
  150.01MB  6.53% 21.49%   420.03MB 18.29%  github.com/wangle201210/ldap-go/internal/directory.DN.NormalizeWith
  133.54MB  5.82% 27.31%   133.54MB  5.82%  github.com/wangle201210/ldap-go/internal/storage.decodeBinaryStoredEntryAttributes
  108.04MB  4.70% 32.01%   108.04MB  4.70%  go.etcd.io/bbolt.cloneBytes (inline)
  101.50MB  4.42% 36.43%   101.50MB  4.42%  unicode/utf8.AppendRune (inline)
   97.50MB  4.25% 40.68%    97.50MB  4.25%  github.com/wangle201210/ldap-go/internal/directory.encodeDNIdentityParts
   91.05MB  3.97% 44.64%    91.05MB  3.97%  bytes.Clone (inline)
   83.07MB  3.62% 48.26%   700.17MB 30.49%  github.com/wangle201210/ldap-go/internal/server.(*Server).preverifyExternalPasswordBind
   78.56MB  3.42% 51.68%   650.66MB 28.34%  github.com/wangle201210/ldap-go/internal/server.(*Server).authenticateReadOnlyPasswordBind
   76.51MB  3.33% 55.01%    76.51MB  3.33%  github.com/wangle201210/ldap-go/internal/directory.encodeDNIdentity
      74MB  3.22% 58.24%       74MB  3.22%  strings.(*Builder).WriteByte (inline)
      61MB  2.66% 60.89%       61MB  2.66%  github.com/wangle201210/ldap-go/internal/directory.formatDNRDNs
   54.50MB  2.37% 63.27%   338.01MB 14.72%  github.com/go-ldap/ldap/v3.ParseDN
   48.51MB  2.11% 65.38%   129.51MB  5.64%  github.com/go-ldap/ldap/v3.decodeString
   45.50MB  1.98% 67.36%   153.54MB  6.69%  go.etcd.io/bbolt.(*Bucket).openBucket
   44.01MB  1.92% 69.28%    44.01MB  1.92%  github.com/wangle201210/ldap-go/internal/storage.partitionedEntryKey (inline)
   42.51MB  1.85% 71.13%    42.51MB  1.85%  encoding/base64.(*Encoding).EncodeToString
   38.50MB  1.68% 72.81%    38.50MB  1.68%  go.etcd.io/bbolt.(*Cursor).search
   37.51MB  1.63% 74.44%   313.62MB 13.66%  github.com/wangle201210/ldap-go/internal/storage.(*boltTx).getSchemaAwareIn
      37MB  1.61% 76.05%       37MB  1.61%  github.com/go-asn1-ber/asn1-ber.Encode
      37MB  1.61% 77.66%       54MB  2.35%  github.com/wangle201210/ldap-go/internal/schema.normalizeSpace
      32MB  1.39% 79.06%   126.50MB  5.51%  github.com/go-ldap/ldap/v3.(*AttributeTypeAndValue).String
   31.01MB  1.35% 80.41%  2241.81MB 97.63%  github.com/wangle201210/ldap-go/internal/server.(*Server).runConnectionOperations
   29.50MB  1.28% 81.69%    29.50MB  1.28%  github.com/wangle201210/ldap-go/internal/directory.decodeDNIdentityParts
   29.32MB  1.28% 82.97%    29.32MB  1.28%  github.com/wangle201210/ldap-go/internal/storage.(*boltNamingContextIndex).put
      29MB  1.26% 84.23%   196.01MB  8.54%  github.com/go-ldap/ldap/v3.(*DN).String
   27.01MB  1.18% 85.41%   407.36MB 17.74%  github.com/wangle201210/ldap-go/internal/storage.(*boltTx).buildNamingContextIndex.func1
      24MB  1.05% 86.45%       26MB  1.13%  github.com/wangle201210/ldap-go/internal/storage.entryDNBinding
      22MB  0.96% 87.41%    30.51MB  1.33%  go.etcd.io/bbolt.(*DB).beginTx
   18.50MB  0.81% 88.22%    18.50MB  0.81%  github.com/wangle201210/ldap-go/internal/server.accessReaderFromContext (inline)
      18MB  0.78% 89.00%    50.50MB  2.20%  github.com/wangle201210/ldap-go/internal/server.(*Server).serveConnection
      17MB  0.74% 89.74%       17MB  0.74%  strings.Fields
      16MB   0.7% 90.44%       16MB   0.7%  encoding/base64.(*Encoding).DecodeString
   15.50MB  0.68% 91.11%    15.50MB  0.68%  github.com/wangle201210/ldap-go/internal/server.accessContextReader.AccessContext
      14MB  0.61% 91.72%       14MB  0.61%  github.com/wangle201210/ldap-go/internal/storage.boltSchemaAwareDNMigrationMetadataKey
      14MB  0.61% 92.33%       14MB  0.61%  bytes.(*Buffer).grow
   13.50MB  0.59% 92.92%   181.54MB  7.91%  github.com/wangle201210/ldap-go/internal/storage.newBoltTx
   11.50MB   0.5% 93.42%    11.50MB   0.5%  bytes.ToLower
      10MB  0.44% 93.86%    13.50MB  0.59%  github.com/wangle201210/ldap-go/internal/server.newTrackedOperation
    6.50MB  0.28% 94.14%  1186.70MB 51.68%  github.com/wangle201210/ldap-go/internal/server.(*accessContextStore).View
       6MB  0.26% 94.40%   207.02MB  9.02%  github.com/wangle201210/ldap-go/internal/storage.decodeNamingContextMetadataDN
