File: profile-current.test
Type: inuse_space
Time: 2026-09-23 14:47:20 CST
Showing nodes accounting for 52.14MB, 100% of 52.14MB total
      flat  flat%   sum%        cum   cum%
   27.01MB 51.80% 51.80%    48.11MB 92.27%  github.com/wangle201210/ldap-go/internal/storage.(*boltTx).buildNamingContextIndex.func1
   15.10MB 28.96% 80.76%    15.10MB 28.96%  github.com/wangle201210/ldap-go/internal/storage.(*boltNamingContextIndex).put
       6MB 11.51% 92.27%        6MB 11.51%  github.com/wangle201210/ldap-go/internal/storage.decodeNamingContextMetadataDN
    1.50MB  2.88% 95.15%     1.50MB  2.88%  runtime.mallocgc
    1.02MB  1.95% 97.10%     1.02MB  1.95%  go.etcd.io/bbolt.Open.func2
    1.01MB  1.94% 99.04%     1.01MB  1.94%  github.com/wangle201210/ldap-go/internal/schema.(*Registry).Clone
    0.50MB  0.96%   100%     0.50MB  0.96%  github.com/wangle201210/ldap-go/internal/server.(*Server).serveConnection
         0     0%   100%     1.01MB  1.94%  github.com/wangle201210/ldap-go/cmd/ldap-go.TestPerformanceSnapshotProfile.func1
         0     0%   100%     1.01MB  1.94%  github.com/wangle201210/ldap-go/cmd/ldap-go.runServe
         0     0%   100%     1.01MB  1.94%  github.com/wangle201210/ldap-go/cmd/ldap-go.runWithContext (inline)
         0     0%   100%     1.01MB  1.94%  github.com/wangle201210/ldap-go/cmd/ldap-go.runWithContextAndSignals
         0     0%   100%     0.51MB  0.98%  github.com/wangle201210/ldap-go/internal/server.(*Server).buildRuntimeState
         0     0%   100%    49.13MB 94.22%  github.com/wangle201210/ldap-go/internal/server.(*Server).dispatch
         0     0%   100%    48.11MB 92.27%  github.com/wangle201210/ldap-go/internal/server.(*Server).handleAdd
         0     0%   100%    48.11MB 92.27%  github.com/wangle201210/ldap-go/internal/server.(*Server).handleAdd.func1
         0     0%   100%     1.02MB  1.95%  github.com/wangle201210/ldap-go/internal/server.(*Server).handleDelete
         0     0%   100%    49.13MB 94.22%  github.com/wangle201210/ldap-go/internal/server.(*Server).runConnectionOperations
         0     0%   100%    49.13MB 94.22%  github.com/wangle201210/ldap-go/internal/server.(*Server).serveConnection.func4
         0     0%   100%    49.13MB 94.22%  github.com/wangle201210/ldap-go/internal/server.(*Server).updateStorage
         0     0%   100%    48.11MB 92.27%  github.com/wangle201210/ldap-go/internal/server.(*Server).updateStorage.func1
         0     0%   100%    49.13MB 94.22%  github.com/wangle201210/ldap-go/internal/server.(*accessContextStore).Update
         0     0%   100%    48.11MB 92.27%  github.com/wangle201210/ldap-go/internal/server.(*accessContextStore).Update.func1
         0     0%   100%     0.51MB  0.98%  github.com/wangle201210/ldap-go/internal/server.(*accessContextStore).View
         0     0%   100%     0.51MB  0.98%  github.com/wangle201210/ldap-go/internal/server.(*accessContextStore).View.func1
         0     0%   100%    49.13MB 94.22%  github.com/wangle201210/ldap-go/internal/server.(*homedirEffectStore).Update
         0     0%   100%    48.11MB 92.27%  github.com/wangle201210/ldap-go/internal/server.(*homedirEffectStore).Update.func1
         0     0%   100%     0.51MB  0.98%  github.com/wangle201210/ldap-go/internal/server.(*homedirEffectStore).View
         0     0%   100%     0.51MB  0.98%  github.com/wangle201210/ldap-go/internal/server.(*homedirEffectStore).View.func1
         0     0%   100%     1.01MB  1.94%  github.com/wangle201210/ldap-go/internal/server.New
         0     0%   100%     0.51MB  0.98%  github.com/wangle201210/ldap-go/internal/server.New.func4
         0     0%   100%    48.11MB 92.27%  github.com/wangle201210/ldap-go/internal/server.refreshRuntimeNamingContexts
         0     0%   100%    49.13MB 94.22%  github.com/wangle201210/ldap-go/internal/storage.(*Bolt).Update
         0     0%   100%     0.51MB  0.98%  github.com/wangle201210/ldap-go/internal/storage.(*Bolt).View
         0     0%   100%     0.51MB  0.98%  github.com/wangle201210/ldap-go/internal/storage.(*Bolt).View.func1
         0     0%   100%    49.13MB 94.22%  github.com/wangle201210/ldap-go/internal/storage.(*Bolt).update
         0     0%   100%    48.11MB 92.27%  github.com/wangle201210/ldap-go/internal/storage.(*Bolt).update.func2
         0     0%   100%        6MB 11.51%  github.com/wangle201210/ldap-go/internal/storage.(*boltNamingContextIndex).decodeRow
         0     0%   100%    48.11MB 92.27%  github.com/wangle201210/ldap-go/internal/storage.(*boltTx).buildNamingContextIndex
         0     0%   100%    48.11MB 92.27%  github.com/wangle201210/ldap-go/internal/storage.InferNamingContextsIncremental
         0     0%   100%    48.11MB 92.27%  go.etcd.io/bbolt.(*Bucket).ForEach
         0     0%   100%     1.02MB  1.95%  go.etcd.io/bbolt.(*Bucket).spill
         0     0%   100%    49.13MB 94.22%  go.etcd.io/bbolt.(*DB).Update
         0     0%   100%     0.51MB  0.98%  go.etcd.io/bbolt.(*DB).View
         0     0%   100%     1.02MB  1.95%  go.etcd.io/bbolt.(*DB).allocate
         0     0%   100%     1.02MB  1.95%  go.etcd.io/bbolt.(*Tx).Commit
         0     0%   100%     1.02MB  1.95%  go.etcd.io/bbolt.(*Tx).allocate
         0     0%   100%     1.02MB  1.95%  go.etcd.io/bbolt.(*node).spill
         0     0%   100%     1.50MB  2.88%  runtime.allocm
         0     0%   100%     1.50MB  2.88%  runtime.mstart
         0     0%   100%     1.50MB  2.88%  runtime.mstart0
         0     0%   100%     1.50MB  2.88%  runtime.mstart1
         0     0%   100%     1.50MB  2.88%  runtime.newm
         0     0%   100%     1.50MB  2.88%  runtime.newobject
         0     0%   100%     1.50MB  2.88%  runtime.resetspinning
         0     0%   100%     1.50MB  2.88%  runtime.schedule
         0     0%   100%     1.50MB  2.88%  runtime.startm
         0     0%   100%     1.50MB  2.88%  runtime.wakep
         0     0%   100%     1.02MB  1.95%  sync.(*Pool).Get
