goos: darwin
goarch: arm64
pkg: github.com/wangle201210/ldap-go/internal/ldapwire
cpu: Apple M1 Pro
BenchmarkReadBindCompareMessage/Bind-8             	 2370760	       152.2 ns/op	 269.36 MB/s	     184 B/op	       5 allocs/op
BenchmarkReadBindCompareMessage/Bind-8             	 2504289	       144.8 ns/op	 283.12 MB/s	     184 B/op	       5 allocs/op
BenchmarkReadBindCompareMessage/Bind-8             	 2596400	       138.8 ns/op	 295.31 MB/s	     184 B/op	       5 allocs/op
BenchmarkReadBindCompareMessage/AnonymousBind-8    	 3485241	       105.1 ns/op	 142.71 MB/s	     114 B/op	       3 allocs/op
BenchmarkReadBindCompareMessage/AnonymousBind-8    	 3393127	       107.4 ns/op	 139.66 MB/s	     114 B/op	       3 allocs/op
BenchmarkReadBindCompareMessage/AnonymousBind-8    	 3392148	       116.9 ns/op	 128.31 MB/s	     114 B/op	       3 allocs/op
BenchmarkReadBindCompareMessage/BinaryBind-8       	 2529543	       136.1 ns/op	 154.32 MB/s	     136 B/op	       5 allocs/op
BenchmarkReadBindCompareMessage/BinaryBind-8       	 2699682	       132.1 ns/op	 158.92 MB/s	     136 B/op	       5 allocs/op
BenchmarkReadBindCompareMessage/BinaryBind-8       	 2700956	       133.7 ns/op	 157.03 MB/s	     136 B/op	       5 allocs/op
BenchmarkReadBindCompareMessage/Compare-8          	 2506630	       146.3 ns/op	 300.76 MB/s	     152 B/op	       6 allocs/op
BenchmarkReadBindCompareMessage/Compare-8          	 2373638	       148.8 ns/op	 295.75 MB/s	     152 B/op	       6 allocs/op
BenchmarkReadBindCompareMessage/Compare-8          	 2471923	       146.8 ns/op	 299.72 MB/s	     152 B/op	       6 allocs/op
BenchmarkReadBindCompareMessage/EmptyCompare-8     	 3180807	       113.3 ns/op	 167.71 MB/s	      94 B/op	       4 allocs/op
BenchmarkReadBindCompareMessage/EmptyCompare-8     	 3145114	       114.3 ns/op	 166.26 MB/s	      94 B/op	       4 allocs/op
