run	metric	ms
before-1	full_prefix	651
before-1	full_prefix	635
before-1	full_prefix	635
current-1	full_prefix	600
current-1	full_prefix	600
current-1	full_prefix	589
openldap-1	full_prefix	537
openldap-1	full_prefix	535
openldap-1	full_prefix	539
current-2	full_prefix	599
current-2	full_prefix	586
current-2	full_prefix	576
openldap-2	full_prefix	534
openldap-2	full_prefix	521
openldap-2	full_prefix	539
before-2	full_prefix	653
before-2	full_prefix	623
before-2	full_prefix	617
openldap-3	full_prefix	534
openldap-3	full_prefix	526
openldap-3	full_prefix	536
before-3	full_prefix	644
before-3	full_prefix	656
before-3	full_prefix	637
current-3	full_prefix	624
current-3	full_prefix	595
current-3	full_prefix	861
