goos: darwin
goarch: arm64
pkg: github.com/wangle201210/ldap-go/internal/storage
cpu: Apple M1 Pro
BenchmarkReadOnlyDecoderNameLayouts/stable-8         	 3063224	       117.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/stable-8         	 3055639	       118.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/stable-8         	 3060183	       132.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/reordered-8      	 2271978	       158.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/reordered-8      	 2225025	       162.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/reordered-8      	 2246770	       159.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/shrinking-8      	 4454103	        80.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/shrinking-8      	 4299364	        79.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/shrinking-8      	 4600327	        78.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/case-changes-8   	 2072926	       172.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/case-changes-8   	 1833085	       192.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/case-changes-8   	 1919976	       188.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/long-stable-8    	 2292872	       159.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/long-stable-8    	 2301744	       157.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkReadOnlyDecoderNameLayouts/long-stable-8    	 2277219	       158.7 ns/op	       0 B/op	       0 allocs/op
PASS
